# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       4.908724632578e-03      -1.652610784186e+00      -2.078930812864e+02      -2.079668046739e+02      -1.648893187697e+00      -1.527035566440e+02      -1.527035566440e+02      -1.527035566440e+02      -2.074053495696e+02       4.122232969242e-01       4.122232422041e-01 
       5.028356841920e-03      -1.646629550778e+00      -2.172994591927e+02      -2.173783546497e+02      -1.642925351657e+00      -1.584022173496e+02      -1.584022173496e+02      -1.584022173496e+02      -2.167799354979e+02       4.107313379143e-01       4.107312912347e-01 
       5.148217505561e-03      -1.640649859840e+00      -2.268964655230e+02      -2.269808273382e+02      -1.636959055622e+00      -1.641502594009e+02      -1.641502594009e+02      -1.641502594009e+02      -2.263440494422e+02       4.092397639055e-01       4.092397239799e-01 
       5.268292625561e-03      -1.634673905212e+00      -2.366817195599e+02      -2.367718494423e+02      -1.630996488376e+00      -1.699439510749e+02      -1.699439510749e+02      -1.699439510749e+02      -2.360953047345e+02       4.077491220940e-01       4.077490878552e-01 
       5.388569327408e-03      -1.628703200773e+00      -2.466527959067e+02      -2.467489920551e+02      -1.625039160278e+00      -1.757794396954e+02      -1.757794396954e+02      -1.757794396954e+02      -2.460312602509e+02       4.062597900695e-01       4.062597606297e-01 
       5.509035755916e-03      -1.622738544138e+00      -2.568071878460e+02      -2.569097519748e+02      -1.619087867048e+00      -1.816527460823e+02      -1.816527460823e+02      -1.816527460823e+02      -2.561493989759e+02       4.047719667619e-01       4.047719413810e-01 
       5.629680981924e-03      -1.616781730055e+00      -2.671425726102e+02      -2.672518077471e+02      -1.613144399304e+00      -1.875599615136e+02      -1.875599615136e+02      -1.875599615136e+02      -2.664473849295e+02       4.032860998261e-01       4.032860778858e-01 
       5.750494918588e-03      -1.610833154963e+00      -2.776564364346e+02      -2.777726494765e+02      -1.607209152524e+00      -1.934969950310e+02      -1.934969950310e+02      -1.934969950310e+02      -2.769226933717e+02       4.018022881311e-01       4.018022691134e-01 
       5.871468246215e-03      -1.604894351759e+00      -2.883464767681e+02      -2.884699835417e+02      -1.601283656097e+00      -1.994598788280e+02      -1.994598788280e+02      -1.994598788280e+02      -2.875730141245e+02       4.003209140242e-01       4.003208974945e-01 
       5.992592344693e-03      -1.598965249799e+00      -2.992101409647e+02      -2.993412684509e+02      -1.595367839493e+00      -2.054444576129e+02      -2.054444576129e+02      -2.054444576129e+02      -2.983957893869e+02       3.988419598732e-01       3.988419454657e-01 
       6.113859232683e-03      -1.593047822515e+00      -3.102452707678e+02      -3.103843553133e+02      -1.589463671690e+00      -2.114468614898e+02      -2.114468614898e+02      -2.114468614898e+02      -3.093888531814e+02       3.973659179226e-01       3.973659053292e-01 
       6.235261512838e-03      -1.587141859897e+00      -3.214493279802e+02      -3.215967294466e+02      -1.583570943134e+00      -2.174629879230e+02      -2.174629879230e+02      -2.174629879230e+02      -3.205496727735e+02       3.958927357836e-01       3.958927247438e-01 
       6.356792322389e-03      -1.581248508854e+00      -3.328200630280e+02      -3.329761570689e+02      -1.577690798148e+00      -2.234889818975e+02      -2.234889818975e+02      -2.234889818975e+02      -3.318759972063e+02       3.944226995369e-01       3.944226898303e-01 
       6.478445288534e-03      -1.575367811538e+00      -3.443550253706e+02      -3.445202122855e+02      -1.571823278783e+00      -2.295209223649e+02      -2.295209223649e+02      -2.295209223649e+02      -3.433653831967e+02       3.929558196958e-01       3.929558111354e-01 
